"","idacr","obsid","leader","startdate","enddate","entry","noexit","gender","duration","Rstart","num","length","years"
"95","ARG","ARG-1904","Quintana","1904-10-12","1906-03-12","Regular",NA,"M",1.41758241758242,"1898-10-12",8,2707,7.41643835616438
"96","ARG","ARG-1906","Alcorta","1906-03-12","1910-10-12","Regular",NA,"M",4.60164835164835,"1904-10-12",9,2191,6.0027397260274
"97","ARG","ARG-1910","R.S. Pena","1910-10-12","1913-10-06","Regular",NA,"M",2.99450549450549,"1906-03-12",10,2765,7.57534246575342
"98","ARG","ARG-1913","de la Plaza","1913-10-06","1916-10-12","Regular",NA,"M",3.02747252747253,"1910-10-12",11,2192,6.00547945205479
"99","ARG","ARG-1916","Irigoyen","1916-10-12","1922-10-12","Regular",NA,"M",6.01923076923077,"1913-10-06",12,3293,9.02191780821918
"100","ARG","ARG-1922","de Alvear","1922-10-12","1928-10-12","Regular",NA,"M",6.02197802197802,"1916-10-12",13,4383,12.0082191780822
"101","ARG","ARG-1928","Irigoyen","1928-10-12","1930-09-06","Regular",1,"M",1.90647893772894,"1922-10-12",14,2885.95833333333,7.90673515981735
"102","ARG","ARG-1928","Irigoyen","1928-10-12","1930-09-06","Regular",1,"M",1.90647893772894,"1928-10-12",15,693.958333333333,1.90125570776256
"103","ARG","ARG-1930","J. Felix Uriburu","1930-09-06","1932-02-20","Irregular",NA,"M",1.46165293040293,"1928-10-12",16,1226,3.35890410958904
"104","ARG","ARG-1932","Justo","1932-02-20","1938-02-20","Regular",NA,"M",6.02197802197802,"1930-09-06",17,2724.04166666667,7.46312785388128
"105","ARG","ARG-1938","Ortiz","1938-02-20","1942-06-22","Regular",NA,"M",4.34878663003663,"1932-02-20",18,3774.95833333333,10.3423515981735
"106","ARG","ARG-1942","Castillo","1942-06-27","1943-06-05","Regular",1,"M",0.942307692307692,"1938-02-20",19,1930.95833333333,5.29029680365297
"107","ARG","ARG-1942","Castillo","1942-06-27","1943-06-05","Regular",1,"M",0.942307692307692,"1942-06-27",20,343,0.93972602739726
"108","ARG","ARG-1943-1","Rawson","1943-06-05","1943-06-07","Irregular",9,"M",0.00549450549450549,"1942-06-27",21,345,0.945205479452055
"109","ARG","ARG-1943-1","Rawson","1943-06-05","1943-06-07","Irregular",9,"M",0.00549450549450549,"1943-06-05",22,2,0.00547945205479452
"110","ARG","ARG-1943-2","Ramirez","1943-06-07","1944-02-24","Irregular",NA,"M",0.71978021978022,"1943-06-05",23,264,0.723287671232877
"111","ARG","ARG-1944","Farrell","1944-03-10","1946-06-04","Regular",NA,"M",2.24175824175824,"1943-06-07",24,1093,2.99452054794521
"112","ARG","ARG-1946","Peron","1946-06-04","1955-09-20","Regular",1,"M",9.32692307692308,"1944-03-10",25,4211,11.5369863013699
"113","ARG","ARG-1946","Peron","1946-06-04","1955-09-20","Regular",1,"M",9.32692307692308,"1946-06-04",26,3395,9.3013698630137
"114","ARG","ARG-1955-1","Lonardi","1955-09-20","1955-11-13","Irregular",1,"M",0.148466117216117,"1946-06-04",27,3449.04166666667,9.44942922374429
"115","ARG","ARG-1955-1","Lonardi","1955-09-20","1955-11-13","Irregular",1,"M",0.148466117216117,"1955-09-20",28,54.0416666666667,0.148059360730594
"116","ARG","ARG-1955-2","Aramburu","1955-11-13","1958-05-01","Irregular",NA,"M",2.472413003663,"1955-09-20",29,954,2.61369863013699
"117","ARG","ARG-1958","Frondizi","1958-05-01","1962-03-29","Regular",1,"M",3.92319139194139,"1955-11-13",30,2328,6.37808219178082
"118","ARG","ARG-1958","Frondizi","1958-05-01","1962-03-29","Regular",1,"M",3.92319139194139,"1958-05-01",31,1428.04166666667,3.91244292237443
"119","ARG","ARG-1962","Guido","1962-03-29","1963-10-12","Regular",NA,"M",1.54384157509158,"1958-05-01",32,1990,5.45205479452055
"120","ARG","ARG-1963","Arturo Illia","1963-10-12","1966-06-28","Regular",1,"M",2.71978021978022,"1962-03-29",33,1551.95833333333,4.25194063926941
"121","ARG","ARG-1963","Arturo Illia","1963-10-12","1966-06-28","Regular",1,"M",2.71978021978022,"1963-10-12",34,990,2.71232876712329
"122","ARG","ARG-1966","Ongania","1966-06-28","1970-06-08","Irregular",1,"M",3.95879120879121,"1963-10-12",35,2431,6.66027397260274
"123","ARG","ARG-1966","Ongania","1966-06-28","1970-06-08","Irregular",1,"M",3.95879120879121,"1966-06-28",36,1441,3.94794520547945
"124","ARG","ARG-1970-1","Lanusse","1970-06-08","1970-06-18","Irregular",NA,"M",0.0274725274725275,"1966-06-28",37,1451,3.97534246575342
